IP,性别,年龄段,学历,职业,收入,了解程度得分,驾驶水平,购无人驾驶车意愿,购车理由_减少疲惫感,购车理由_减少事故,购车理由_提高效率,购车理由_节能环保,购车理由_技术发达,不购车理由_安全问题,不购车理由_技术不成熟,不购车理由_质量不行,不购车理由_法规不完善,不购车理由_喜欢手动,是否尝试过,满意度,需加强方面,场景想象
39.144.153.98(江苏-苏州),女,25～35,本科,教育,2000元及以下,1,一般,愿意,不同意,一般,一般,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,就下班以后，可以更加方便，解放人的累。
39.144.231.226(安徽-滁州),男,18～24,本科,医疗保健,2001元-5000元,2,一般,非常愿意,同意,同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),对乘客的个人隐私保护,。
120.230.111.255(广东-广州),男,25～35,研究生及以上,信息技术,10001元-50000元,5,一般,愿意,同意,同意,同意,一般,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,十字路口红绿灯消失，正面影响，方便快捷；负面影响，系统遭到攻击或损坏，将变成巨大灾难。
111.55.24.88(河北-石家庄),男,18～24,研究生及以上,交通运输,2000元及以下,2,非常好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,同意,一般,非常同意,同意,否,(跳过),事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,出行将会有非常大的变化驾照将不会是上路的必要前提
112.26.31.36(安徽-合肥),男,18～24,本科,学生,2000元及以下,1,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,同意,一般,非常同意,一般,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,大街上无人汽车很多，省事但人更懒了
120.230.127.193(广东-广州),男,36～54,大专,其他,10001元-50000元,2,好,非常不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,非常同意,非常同意,非常同意,否,(跳过),汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,人都废了
182.204.5.129(辽宁-沈阳),男,25～35,大专,其他,7501元-10000元,2,一般,愿意,非常同意,非常同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,公交车无人驾驶，
119.2.147.184(广东-广州),女,18～24,本科,交通运输,5001元-7500元,3,好,非常愿意,非常同意,非常同意,非常同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护,正面：疲劳的时候不用劳累开车 负面：技术局限与故障
39.148.4.98(河南-信阳),男,25～35,大专,建筑工程,2001元-5000元,3,好,非常愿意,非常同意,同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋汽车生产管理的协同程度,出行更加安全
39.144.125.44(浙江-杭州),女,54岁及以上,本科,教育,2001元-5000元,2,好,愿意,同意,一般,同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分,可以在车内完成工作
117.61.194.127(北京-北京),女,18～24,大专,学生,5001元-7500元,1,一般,愿意,不同意,同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),对乘客的个人隐私保护┋识别障碍与路况的能力,大家出行更加便利
58.217.108.105(江苏-镇江),女,18～24,本科,建筑工程,2000元及以下,2,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),不同意,一般,一般,一般,同意,否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分,变好，
60.10.194.243(河北-廊坊),女,18～24,本科,教育,5001元-7500元,1,好,愿意,同意,一般,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无
114.138.129.200(贵州-黔南),女,18～24,本科,学生,2000元及以下,1,好,愿意,同意,不同意,同意,同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋事故发生的权责划分┋智能化程度不足(如灵活加速/加塞)   ,好处：人们不用考驾照  坏处：发生事故难追责
124.160.64.91(浙江-杭州),女,18～24,本科,学生,2000元及以下,1,非常不好或无驾照,愿意,同意,一般,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,智能化时代 正面 人们不用花时间考驾照 负面 存在风险
116.162.134.192(湖南-长沙),女,18～24,本科,学生,2000元及以下,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,同意,同意,同意,一般,否,(跳过),消费者的认知和接受度不高,十字路口，正面：方便 反面：可能造成事故
117.136.20.18(安徽-合肥),女,18～24,本科,学生,2000元及以下,1,好,愿意,不同意,不同意,不同意,不同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,啊
183.46.114.151(广东-汕头),女,18～24,本科,其他,2001元-5000元,1,非常不好或无驾照,愿意,非常同意,非常同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋智能化程度不足(如灵活加速/加塞)   ,呜呜呜
112.96.71.67(广东-广州),女,18～24,本科,学生,2001元-5000元,1,好,愿意,非常同意,一般,一般,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,出行安全面临不确定性，比如遇到突发情况无人驾驶汽车无法随机应变导致交通堵塞，像之前武汉的萝卜快跑一样
220.197.226.196(云南-昆明),女,18～24,本科,学生,2000元及以下,1,不好,非常不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,非常同意,非常同意,非常同意,否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度,好
223.104.40.178(北京-北京),男,18～24,研究生及以上,学生,2001元-5000元,1,非常好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,一般,非常同意,非常同意,否,(跳过),消费者的认知和接受度不高┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,大批网约车、出租车司机失业，交通通行效率变慢。对消费者而言前期打车成本变低，但是效率有待考究
223.104.40.232(北京-北京),男,25～35,研究生及以上,学生,2001元-5000元,1,一般,愿意,一般,同意,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护,不知道
106.61.150.131(云南-文山),女,18～24,本科,学生,2001元-5000元,3,好,愿意,同意,同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,人儿
223.104.41.26(北京-北京),男,25～35,研究生及以上,其他,2000元及以下,2,非常好,愿意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,高速路上都是无人驾驶汽车
223.104.38.165(北京-北京),男,18～24,研究生及以上,信息技术,2001元-5000元,2,非常好,非常不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,非常同意,非常同意,非常同意,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,挺好的 应该挺棒的
39.144.59.182(辽宁-沈阳),女,18～24,本科,教育,2001元-5000元,1,一般,愿意,不同意,一般,同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,一些职业面临失业，事故发生难以判责，但是生活方便
223.104.67.39(广东-广州),女,18～24,本科,学生,2001元-5000元,1,一般,愿意,同意,同意,同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度,便捷，低成本
